Mes;VENCIMENTO;LANCAMENTO;PAGAMENTO;DOCUMENTO;NF;CODIGO;FORNECEDOR;COMPLEMENTO;COD;HISTORICO;VALOR_HIST;JUROS;DESCONTOS;VALOR;RESTANTE;COD_G_HIST;G_HIST;CODIGO CONTABIL
1;02/01/2024;23/11/2023;02/01/2024;10361/03;10361;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;9742,28;0;0;9742,28;=(K15+L15-M15-N15);8;EMBALAGENS;
1;02/01/2024;21/11/2023;02/01/2024;19590/03;19590;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;13707,5;0;0;13707,5;=(K16+L16-M16-N16);121;ERVA MATE TIPO A E PALITO;
1;02/01/2024;21/11/2023;02/01/2024;19591/03;19591;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;1933,33;0;0;1933,33;=(K17+L17-M17-N17);5;ERVA MATE TIPO A;
1;02/01/2024;19/12/2023;02/01/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;592,1;0;0;592,1;=(K18+L18-M18-N18);13;FRETES;
1;02/01/2024;19/12/2023;02/01/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;3532,53;0;0;3532,53;=(K19+L19-M19-N19);13;FRETES;
1;02/01/2024;28/11/2023;02/01/2024;3102/02;3102;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2784;0;0;2784;=(K20+L20-M20-N20);17;ESPECIARIAS;
1;02/01/2024;05/12/2023;02/01/2024;19898/02;19898;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;15251;0;0;15251;=(K21+L21-M21-N21);121;ERVA MATE TIPO A E PALITO;
1;02/01/2024;13/12/2023;02/01/2024;1165/02;;161;C. J. ARMARINHOS E CONFECCOES LTDA;;130;DIVERSOS;479,2;0;0;479,2;=(K22+L22-M22-N22);128;UNIFORME;
1;03/01/2024;24/11/2023;04/01/2024;10370/03;10370;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;7487,62;174,71;0;7662,33;=(K23+L23-M23-N23);8;EMBALAGENS;
1;03/01/2024;20/12/2023;04/01/2024;20351/01;20351;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;15280;331,58;0;15611,58;=(K24+L24-M24-N24);121;ERVA MATE TIPO A E PALITO;
1;03/01/2024;05/12/2023;04/01/2024;;;74;GOVERNO;;135;IMPOSTOS;748,4;9,94;0;758,34;=(K25+L25-M25-N25);50;ICMS;
1;03/01/2024;04/12/2023;04/01/2024;10429/02;10429;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;1568,78;36,6;0;1605,38;=(K26+L26-M26-N26);8;EMBALAGENS;
1;03/01/2024;06/12/2023;04/01/2024;161/03;161;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5861,66;0;0;5861,66;=(K27+L27-M27-N27);69;BURRITO E MENTA;
1;04/01/2024;30/11/2023;04/01/2024;;;225;CLICHEART LTDA;;131;INSUMOS;816,71;0;0;816,71;=(K28+L28-M28-N28);130;CLICH? EMBALAGENS;
1;04/01/2024;20/12/2023;04/01/2024;11826/01;11826;11;ILUMET ILUMINACAO LTDA;;129;PRODUTO;4560;0;0;4560;=(K29+L29-M29-N29);4;BOMBAS;
1;04/01/2024;09/11/2023;04/01/2024;160/07;160;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;6981,35;0;0;6981,35;=(K30+L30-M30-N30);69;BURRITO E MENTA;
1;04/01/2024;19/12/2023;04/01/2024;20341/01;20341;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;17096;0;0;17096;=(K31+L31-M31-N31);121;ERVA MATE TIPO A E PALITO;
1;04/01/2024;07/12/2023;04/01/2024;3236/01;3236;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2760;0;0;2760;=(K32+L32-M32-N32);17;ESPECIARIAS;
1;04/01/2024;04/01/2024;04/01/2024;;;139;COLABORADORES;;136;RH;400;0;0;400;=(K33+L33-M33-N33);6;CHAPA;
1;04/01/2024;04/01/2024;04/01/2024;;;150;INVIOLAVEL VALE DO IVAI COMERCIO E MANUTENCAO DE A;;130;DIVERSOS;350;7,94;0;357,94;=(K34+L34-M34-N34);116;INSTALA??O CAMERAS;
1;05/01/2024;06/12/2023;04/01/2024;132/02;132;6;E GUILLEN DE MELO ME;;129;PRODUTO;44088,33;0;0;44088,33;=(K35+L35-M35-N35);2;BOMBAS E COPOS;
1;05/01/2024;05/12/2023;04/01/2024;47905/02;47905;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;23100;0;0;23100;=(K36+L36-M36-N36);178;ERVA TIPO B;
1;05/01/2024;01/12/2023;04/01/2024;7820/02;7820;159;RDS IND. COM. EMBALAGENS PLASTICAS LTDA;;131;INSUMOS;9532,28;0;0;9532,28;=(K37+L37-M37-N37);142;FARDOS;
1;05/01/2024;19/12/2023;04/01/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;492,37;0;0;492,37;=(K38+L38-M38-N38);13;FRETES;
1;05/01/2024;13/09/2023;04/01/2024;;;240;WAGNER DLUGOSZ DONATO 00896841928;;133;PUBLICIDADE;6000;0;0;6000;=(K39+L39-M39-N39);59;AGENCIA DE PUBLICIDADE;
1;06/01/2024;07/11/2023;08/01/2024;638706/03;638706;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;12546,59;0;0;12546,59;=(K40+L40-M40-N40);17;ESPECIARIAS;
1;06/01/2024;07/11/2023;08/01/2024;638707/03;638707;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;4962,08;0;0;4962,08;=(K41+L41-M41-N41);17;ESPECIARIAS;
1;07/01/2024;05/01/2024;05/01/2024;;;74;GOVERNO;;135;IMPOSTOS;517,01;0;0;517,01;=(K42+L42-M42-N42);44;FGTS;
1;07/01/2024;05/01/2024;05/01/2024;;;74;GOVERNO;;135;IMPOSTOS;3602,31;0;0;3602,31;=(K43+L43-M43-N43);44;FGTS;
1;08/01/2024;05/01/2024;08/01/2024;;;111;DESRATIZA??O;;132;FIXO;140;0;0;140;=(K44+L44-M44-N44);30;CONTROLE DE PRAGAS;
1;08/01/2024;08/01/2024;08/01/2024;;;87;SIND DOS TRAB NA MOV DE MERC EM GERAL DE JANDAIA D;;130;DIVERSOS;386;0;0;386;=(K45+L45-M45-N45);6;CHAPA;
1;08/01/2024;08/01/2024;08/01/2024;;;91;FRETE CARREGAMENTO;CARGA CHRISTIAN;145;ABASTECIMENTO PR;1300;0;0;1300;=(K46+L46-M46-N46);13;FRETES;
1;08/01/2024;05/01/2024;05/01/2024;;;266;ZAGONEL S.A.;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;3643,32;0;0;3643,32;=(K47+L47-M47-N47);65;MANUTENCAO INSTALA?OES;
1;08/01/2024;27/11/2023;08/01/2024;10369/03;10369;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;24688,76;0;0;24688,76;=(K48+L48-M48-N48);8;EMBALAGENS;
1;08/01/2024;29/11/2023;08/01/2024;;;270;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;2707,73;0;0;2707,73;=(K49+L49-M49-N49);185;SEGURO PREDIAL;
1;08/01/2024;27/12/2023;08/01/2024;;;238;TSG SPORTS LTDA;;108;FRETES;370;0;0;370;=(K50+L50-M50-N50);13;FRETES;
1;09/01/2024;13/12/2023;10/01/2024;47922/02;47922;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;4200;0;0;4200;=(K51+L51-M51-N51);72;PALITO;
1;09/01/2024;11/10/2023;10/01/2024;CACTOS / 4;3155;9;INVENT ARTE E PROPAGANDA LTDA;SEM NF FISCAL;133;PUBLICIDADE;6490;0;0;6490;=(K52+L52-M52-N52);15;ADESIVO;
1;09/01/2024;28/11/2023;10/01/2024;3102/03;3102;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2784;64,87;0;2848,87;=(K53+L53-M53-N53);17;ESPECIARIAS;
1;09/01/2024;29/11/2023;10/01/2024;12667/04;;65;B BATISTA FERRAGENS EIRELI;;107;MATERIAIS DE CONSUMO;549;16,47;0;565,47;=(K54+L54-M54-N54);133;MATERIAIS DE EPI;
1;09/01/2024;28/11/2023;10/01/2024;19723/03;19723;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;18577,5;403,13;0;18980,63;=(K55+L55-M55-N55);121;ERVA MATE TIPO A E PALITO;
1;09/01/2024;13/12/2023;10/01/2024;47920/02;47920;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;19800;0;0;19800;=(K56+L56-M56-N56);24;ERVA MATE TIPO B E PALITO;
1;09/01/2024;05/12/2023;10/01/2024;640/02;640;64;RB COMERCIO E INDUSTRIA LTDA;;104;MATERIA PRIMA;10560;535,04;0;11095,04;=(K57+L57-M57-N57);38;LIMAO TRITURADO;
1;09/01/2024;05/01/2024;10/01/2024;;;192;AUTO POSTO JANDAIA LTDA;;130;DIVERSOS;921,7;0;0;921,7;=(K58+L58-M58-N58);143;ABAST. VEICULO EMPRESA;
1;09/01/2024;09/01/2024;10/01/2024;;;87;SIND DOS TRAB NA MOV DE MERC EM GERAL DE JANDAIA D;;130;DIVERSOS;305;0;0;305;=(K59+L59-M59-N59);6;CHAPA;
1;10/01/2024;08/01/2024;10/01/2024;;;100;CORREIOS;;141;ECOMMERCE;5979,99;0;0;5979,99;=(K60+L60-M60-N60);13;FRETES;
1;10/01/2024;10/01/2024;10/01/2024;;;94;CLEVERSON A BERTTI FARMACIA ME;;136;RH;125,5;0;0;125,5;=(K61+L61-M61-N61);31;FARMACIA;
1;10/01/2024;10/01/2024;10/01/2024;;;94;CLEVERSON A BERTTI FARMACIA ME;;136;RH;1921,03;0;0;1921,03;=(K62+L62-M62-N62);31;FARMACIA;
1;10/01/2024;27/12/2023;10/01/2024;;;78;MEGA SYSTEM;;132;FIXO;429;0;0;429;=(K63+L63-M63-N63);27;SISTEMA;
1;10/01/2024;15/12/2023;10/01/2024;;;79;14 DE DEZEMBRO;;132;FIXO;4218;0;0;4218;=(K64+L64-M64-N64);28;HONORARIO CONTABIL;
1;10/01/2024;06/12/2023;10/01/2024;161/04;161;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5861,66;0;0;5861,66;=(K65+L65-M65-N65);69;BURRITO E MENTA;
1;10/01/2024;13/12/2023;10/01/2024;20128/02;20128;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;11799,67;0;0;11799,67;=(K66+L66-M66-N66);121;ERVA MATE TIPO A E PALITO;
1;10/01/2024;20/11/2023;10/01/2024;;;114;ALMIR CAMBRA;;133;PUBLICIDADE;2500;0;0;2500;=(K67+L67-M67-N67);36;PUBLI ALMIR CAMBRA;
1;10/01/2024;15/12/2023;10/01/2024;;;79;14 DE DEZEMBRO;;132;FIXO;800;0;0;800;=(K68+L68-M68-N68);28;HONORARIO CONTABIL;
1;10/01/2024;10/09/2023;10/01/2024;;;224;MICHEL JOSE MIKCHA DA SILVA 06367773916;;133;PUBLICIDADE;2000;0;0;2000;=(K69+L69-M69-N69);59;AGENCIA DE PUBLICIDADE;
1;11/01/2024;07/12/2023;12/01/2024;3236/02;3236;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2760;0;0;2760;=(K70+L70-M70-N70);17;ESPECIARIAS;
1;11/01/2024;14/12/2023;11/01/2024;21894/01;21894;62;POLYCAIXAS CENTRO DE DISTRIBUICAO - EIRELI - EPP;CAIXA P ENVIO GARRAFAS;131;INSUMOS;707,85;0;0;707,85;=(K71+L71-M71-N71);63;CAIXA PAPELAO;
1;11/01/2024;12/12/2023;11/01/2024;647301/01;647301;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;28216,64;0;0;28216,64;=(K72+L72-M72-N72);17;ESPECIARIAS;
1;11/01/2024;15/12/2023;11/01/2024;;;79;14 DE DEZEMBRO;;132;FIXO;587;0;0;587;=(K73+L73-M73-N73);28;HONORARIO CONTABIL;
1;11/01/2024;11/01/2024;12/01/2024;;;92;SODEXO;;136;RH;9520;0;0;9520;=(K74+L74-M74-N74);9;CART?O ALIMENTA??O;
1;12/01/2024;12/01/2024;12/01/2024;;;263;DELALIBERA E PRADO ADVOGADOS ASSOCIADOS;;59;CONSULTORIAS;3000;0;0;3000;=(K75+L75-M75-N75);184;ACESSORIA JUR?DICA;
1;12/01/2024;12/01/2024;12/01/2024;;;74;GOVERNO;;135;IMPOSTOS;18823,09;0;0;18823,09;=(K76+L76-M76-N76);50;ICMS;
1;12/01/2024;12/01/2024;12/01/2024;;;69;MERCADO LIVRE;;107;MATERIAIS DE CONSUMO;258;0;0;258;=(K77+L77-M77-N77);171;COPO DESCARTAVEL;
1;12/01/2024;12/01/2024;12/01/2024;;;74;GOVERNO;;135;IMPOSTOS;4008,76;0;0;4008,76;=(K78+L78-M78-N78);45;ICMS - ST MG;
1;12/01/2024;08/01/2024;12/01/2024;;;88;EDUARDO HENRIQUE DOMINGUES - CTE;;142;ABASTECIMENTO MT;700;0;0;700;=(K79+L79-M79-N79);23;MANIFESTO;
1;12/01/2024;12/01/2024;12/01/2024;;;91;FRETE CARREGAMENTO;ABASTECIMENTO GIAN E DINELI;150;ABASTECIMENTO SP;4500;0;0;4500;=(K80+L80-M80-N80);13;FRETES;
1;12/01/2024;12/01/2024;12/01/2024;;;82;CRUZEIRO DO SUL;;108;FRETES;4195,76;106,27;0;4302,03;=(K81+L81-M81-N81);13;FRETES;
1;12/01/2024;12/01/2024;12/01/2024;11048;;77;NEW FLASH IMPRESSORA;;132;FIXO;132,5;0;0;132,5;=(K82+L82-M82-N82);32;IMPRESSORA;
1;12/01/2024;05/01/2024;12/01/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;1541,23;0;0;1541,23;=(K83+L83-M83-N83);13;FRETES;
1;12/01/2024;06/10/2023;12/01/2024;5;;246;CASSIMELE ALINE ZAN PELIZER 09155399932;;133;PUBLICIDADE;1200;0;0;1200;=(K84+L84-M84-N84);174;SERVI?O MARKETING;
1;12/01/2024;29/12/2023;12/01/2024;20358/01;20358;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;4965;0;0;4965;=(K85+L85-M85-N85);178;ERVA TIPO B;
1;12/01/2024;15/12/2023;12/01/2024;20191/02;20191;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;12541,83;0;0;12541,83;=(K86+L86-M86-N86);121;ERVA MATE TIPO A E PALITO;
1;12/01/2024;23/11/2023;12/01/2024;10361/04;10361;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;9742,28;0;0;9742,28;=(K87+L87-M87-N87);8;EMBALAGENS;
1;12/01/2024;01/12/2023;12/01/2024;7820/03;7820;159;RDS IND. COM. EMBALAGENS PLASTICAS LTDA;;131;INSUMOS;9532,29;0;0;9532,29;=(K88+L88-M88-N88);142;FARDOS;
1;12/01/2024;01/12/2023;12/01/2024;19794/03;19794;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;21811,66;0;0;21811,66;=(K89+L89-M89-N89);121;ERVA MATE TIPO A E PALITO;
1;12/01/2024;27/11/2023;12/01/2024;643524/002;643524;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;31564,83;31,56;0;31596,39;=(K90+L90-M90-N90);17;ESPECIARIAS;
1;12/01/2024;05/01/2024;12/01/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;477,11;0;0;477,11;=(K91+L91-M91-N91);13;FRETES;
1;13/01/2024;29/12/2023;15/01/2024;133/01;133;6;E GUILLEN DE MELO ME;;129;PRODUTO;57533,33;0;0;57533,33;=(K92+L92-M92-N92);2;BOMBAS E COPOS;
1;14/01/2024;15/12/2023;15/01/2024;648306/01;648306;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;11339,63;0;0;11339,63;=(K93+L93-M93-N93);17;ESPECIARIAS;
1;15/01/2024;04/12/2023;15/01/2024;10429/03;10429;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;1568,78;0;0;1568,78;=(K94+L94-M94-N94);8;EMBALAGENS;
1;15/01/2024;05/01/2024;15/01/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;377,75;0;0;377,75;=(K95+L95-M95-N95);13;FRETES;
1;15/01/2024;05/01/2024;15/01/2024;;;80;BAUER EXPRESS;;108;FRETES;1548,35;0;0;1548,35;=(K96+L96-M96-N96);13;FRETES;
1;15/01/2024;05/01/2024;15/01/2024;;;80;BAUER EXPRESS;;108;FRETES;144,27;0;0;144,27;=(K97+L97-M97-N97);13;FRETES;
1;15/01/2024;05/01/2024;15/01/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;3923,51;0;0;3923,51;=(K98+L98-M98-N98);13;FRETES;
1;15/01/2024;24/11/2023;15/01/2024;10370/04;10370;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;7487,62;0;0;7487,62;=(K99+L99-M99-N99);8;EMBALAGENS;
1;15/01/2024;03/01/2024;15/01/2024;;;70;MERCADO SAO PEDRO;MATERIAL DE LIMPEZA;107;MATERIAIS DE CONSUMO;61,29;0;0;61,29;=(K100+L100-M100-N100);102;MANTIMENTOS;
1;15/01/2024;05/12/2023;15/01/2024;;;74;GOVERNO;;135;IMPOSTOS;2659,1;0;0;2659,1;=(K101+L101-M101-N101);51;ICMS - EQUALIZA??O;
1;15/01/2024;12/01/2024;15/01/2024;;;80;BAUER EXPRESS;;108;FRETES;107,46;0;0;107,46;=(K102+L102-M102-N102);13;FRETES;
1;15/01/2024;08/01/2024;15/01/2024;;;275;TRANS APUCARANA TRANSPORTES RODOVIARIOS LTDA;;108;FRETES;548,1;0;0;548,1;=(K103+L103-M103-N103);13;FRETES;
1;15/01/2024;12/01/2024;15/01/2024;;;80;BAUER EXPRESS;;108;FRETES;1591,21;0;0;1591,21;=(K104+L104-M104-N104);13;FRETES;
1;15/01/2024;19/01/2024;19/01/2024;1;;280;UNITECH INDUSTRIA DE MAQUINAS LTDA;;64;M?QUINAS E EQUIPAMENTOS;200000;0;0;200000;=(K105+L105-M105-N105);188;M?QUINA STAND POUCH AUTOM?TICA POUCH SPK 250 SUPER;
1;15/01/2024;12/01/2024;15/01/2024;;;164;ITAU ADMINISTRADORA DE CONSORCIOS LTDA;;154;CONS?RCIO CAMINH?O;11595,64;0;0;11595,64;=(K106+L106-M106-N106);131;CONS?RCIO;
1;15/01/2024;12/01/2024;15/01/2024;;;108;B DA S STRESSER SOLUCOES DIGITAIS;;133;PUBLICIDADE;1400;0;0;1400;=(K107+L107-M107-N107);60;MATERIAL PUBLICITARIO;
1;15/01/2024;15/01/2024;15/01/2024;;;74;GOVERNO;;135;IMPOSTOS;268,81;0;0;268,81;=(K108+L108-M108-N108);118;ST;
1;16/01/2024;16/01/2024;16/01/2024;;;91;FRETE CARREGAMENTO;RAFAEL FABRICIP;145;ABASTECIMENTO PR;900;0;0;900;=(K109+L109-M109-N109);13;FRETES;
1;16/01/2024;05/12/2023;16/01/2024;19898/03;19898;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;15251;0;0;15251;=(K110+L110-M110-N110);121;ERVA MATE TIPO A E PALITO;
1;16/01/2024;27/11/2023;16/01/2024;10369/04;10369;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;24688,76;0;0;24688,76;=(K111+L111-M111-N111);8;EMBALAGENS;
1;16/01/2024;19/12/2023;16/01/2024;20341/02;20341;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;17096;0;0;17096;=(K112+L112-M112-N112);121;ERVA MATE TIPO A E PALITO;
1;16/01/2024;28/11/2023;16/01/2024;3102/04;3102;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2784;0;0;2784;=(K113+L113-M113-N113);17;ESPECIARIAS;
1;17/01/2024;06/12/2023;17/01/2024;161/05;161;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5861,66;0;0;5861,66;=(K114+L114-M114-N114);69;BURRITO E MENTA;
1;17/01/2024;20/12/2023;17/01/2024;20351/02;20351;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;15280;0;0;15280;=(K115+L115-M115-N115);121;ERVA MATE TIPO A E PALITO;
1;17/01/2024;11/01/2024;17/01/2024;8486/01;8486;55;ERVATEIRA CASAGRANDE LTDA;;104;MATERIA PRIMA;19900;0;0;19900;=(K116+L116-M116-N116);24;ERVA MATE TIPO B E PALITO;
1;17/01/2024;17/01/2024;17/01/2024;;;91;FRETE CARREGAMENTO;;150;ABASTECIMENTO SP;3950;0;0;3950;=(K117+L117-M117-N117);13;FRETES;
1;17/01/2024;17/01/2024;17/01/2024;;;91;FRETE CARREGAMENTO;ABASTECIMENTO ANDERSON;145;ABASTECIMENTO PR;2400;0;0;2400;=(K118+L118-M118-N118);13;FRETES;
1;18/01/2024;18/01/2024;18/01/2024;88198;;230;REGISTRON;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;400,03;0;0;400,03;=(K119+L119-M119-N119);138;MANUT DE MAQUINARIOS PRODU??O;
1;18/01/2024;18/01/2024;18/01/2024;;;74;GOVERNO;;135;IMPOSTOS;2772,58;0;0;2772,58;=(K120+L120-M120-N120);162;IPVA;
1;18/01/2024;19/01/2024;19/01/2024;1;;281;POTENCIAL LASER IMPORTACAO, EXPORTACAO, COMERCIO E;;64;M?QUINAS E EQUIPAMENTOS;16100;0;0;16100;=(K121+L121-M121-N121);189;M?QUINA LASER MODELO FIBER LASER 30W;
1;18/01/2024;07/12/2023;18/01/2024;3236/03;3236;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;2760;0;0;2760;=(K122+L122-M122-N122);17;ESPECIARIAS;
1;19/01/2024;20/12/2023;19/01/2024;11826/02;11826;11;ILUMET ILUMINACAO LTDA;;129;PRODUTO;4560;0;0;4560;=(K123+L123-M123-N123);4;BOMBAS;
1;19/01/2024;19/01/2024;19/01/2024;;;87;SIND DOS TRAB NA MOV DE MERC EM GERAL DE JANDAIA D;;130;DIVERSOS;1595;0;0;1595;=(K124+L124-M124-N124);6;CHAPA;
1;19/01/2024;05/01/2024;19/01/2024;20368/01;20368;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;3625;0;0;3625;=(K125+L125-M125-N125);178;ERVA TIPO B;
1;19/01/2024;18/01/2024;19/01/2024;;;277;JCM COMERCIO E REPRESENTA??ES DE MAQUINAS;MANUTEN??O EMPACOTADEIRA ANTIGA;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;3575;0;0;3575;=(K126+L126-M126-N126);138;MANUT DE MAQUINARIOS PRODU??O;
1;19/01/2024;19/01/2024;19/01/2024;;;139;COLABORADORES;;136;RH;360;0;0;360;=(K127+L127-M127-N127);6;CHAPA;
1;19/01/2024;12/01/2024;19/01/2024;;;74;GOVERNO;;135;IMPOSTOS;1675,08;0;0;1675,08;=(K128+L128-M128-N128);115;INSS;
1;19/01/2024;12/01/2024;19/01/2024;;;74;GOVERNO;;135;IMPOSTOS;3119,29;0;0;3119,29;=(K129+L129-M129-N129);115;INSS;
1;20/01/2024;10/01/2024;22/01/2024;MULHER/1;3176;9;INVENT ARTE E PROPAGANDA LTDA;;133;PUBLICIDADE;3225;0;0;3225;=(K130+L130-M130-N130);15;ADESIVO;
1;20/01/2024;06/12/2023;22/01/2024;132/03;132;6;E GUILLEN DE MELO ME;;129;PRODUTO;44088,34;0;0;44088,34;=(K131+L131-M131-N131);2;BOMBAS E COPOS;
1;20/01/2024;23/06/2023;22/01/2024;;;284;RENAULT DO BRASIL S.A;;155;FROTA;4221,98;0;0;4221,98;=(K132+L132-M132-N132);160;VAN RENAULT 01;
1;21/01/2024;22/12/2023;22/01/2024;650142/01;650142;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;1272,72;0;0;1272,72;=(K133+L133-M133-N133);17;ESPECIARIAS;
1;22/01/2024;13/12/2023;22/01/2024;1165/03;;161;C. J. ARMARINHOS E CONFECCOES LTDA;;130;DIVERSOS;479,2;0;0;479,2;=(K134+L134-M134-N134);128;UNIFORME;
1;22/01/2024;23/11/2023;22/01/2024;1164/02;;161;C. J. ARMARINHOS E CONFECCOES LTDA;;136;RH;1575,1;0;0;1575,1;=(K135+L135-M135-N135);128;UNIFORME;
